
////////////////////////////////////////////////////////////////////////////////////////////////////////
////////////////////////////////////////////////////////////////////////////////////////////////////////
////////////////////////////////////////////////////////////////////////////////////////////////////////
//
//						HEROES
//
////////////////////////////////////////////////////////////////////////////////////////////////////////
////////////////////////////////////////////////////////////////////////////////////////////////////////
////////////////////////////////////////////////////////////////////////////////////////////////////////

///////////////////////////////////////////////////////
// Aeronaut
///////////////////////////////////////////////////////

	"npc_dota_hero_shredder"    "Aeronaut"
	"DOTA_Tooltip_ability_lightning_spark_radius"    "RADIUS:"
	"DOTA_Tooltip_ability_lightning_spark_slow"    "%SLOW:"
		"DOTA_Tooltip_modifier_spark_slow"    "Spark"
		"DOTA_Tooltip_modifier_spark_slow_description"    "Being slowed a bit."

	"DOTA_Tooltip_ability_lightning_overload"    "Overload"
	"DOTA_Tooltip_ability_lightning_overload_description"    "Slows and damages enemies in an area around Lightning."
	"DOTA_Tooltip_ability_lightning_overload_Lore"    "Those who face the Tijadi in close combat rarely live long enough to see their full strength."
	"DOTA_Tooltip_ability_lightning_overload_damage"    "DAMAGE:"
	"DOTA_Tooltip_ability_lightning_overload_radius"    "RADIUS:"
	"DOTA_Tooltip_ability_lightning_overload_move_slow"    "%MOVE SLOW:"
	"DOTA_Tooltip_ability_lightning_overload_attack_slow"    "ATTACK SLOW:"
	"DOTA_Tooltip_ability_lightning_overload_duration"    "SLOW DURATION:"
		"DOTA_Tooltip_modifier_overload_slow"    "Slow"
		"DOTA_Tooltip_modifier_overload_slow_description"    ""

///////////////////////////////////////////////////////
// Lupin
///////////////////////////////////////////////////////

	"npc_dota_hero_riki"    "Lupin"
	"npc_dota_hero_riki_bio"    ""
	"npc_dota_hero_riki_hype"    "Lupin is all about the surprise. With a kit that perfectly suits a roaming ganker, he is excellent against casters and squishy carries. Silence and slow your foes, Daze them, pop them with your trusty handgun, and then finish them with a one-two-slash-Ultimate."


	"DOTA_Tooltip_ability_special_bonus_lupin_1"    "+12% Beneath the Mask Slow"

	"DOTA_Tooltip_ability_special_bonus_lupin_2"    "+125 Flashbang Damage"

	"DOTA_Tooltip_ability_special_bonus_lupin_3"    "+0.75s Finisher Slow Duration"

	"DOTA_Tooltip_ability_special_bonus_lupin_4"    "+1.75s Flashbang Daze Duration"

	"DOTA_Tooltip_ability_special_bonus_lupin_5"    "+1000 Last Surprise Range"

	"DOTA_Tooltip_ability_special_bonus_lupin_6"    "Beneath the Mask Mutes"

	"DOTA_Tooltip_ability_lupin_beneath_the_mask"    "Beneath The Mask"
	"DOTA_Tooltip_ability_lupin_beneath_the_mask_Description"    "Lupin's next attack against a Hero deals bonus Physical damage, Silencing them and stealing their movespeed and attack speed."
	"DOTA_Tooltip_ability_lupin_beneath_the_mask_damage"    "BONUS DAMAGE:"
	"DOTA_Tooltip_ability_lupin_beneath_the_mask_slow"    "%MOVESPEED STEAL:"
	"DOTA_Tooltip_ability_lupin_beneath_the_mask_attack_speed_steal"    "ATTACK SPEED STEAL:"
	"DOTA_Tooltip_ability_lupin_beneath_the_mask_duration"    "DURATION:"
		"DOTA_Tooltip_modifier_beneath_the_mask_slow"    "Beneath the Mask"
		"DOTA_Tooltip_modifier_beneath_the_mask_slow_description"    "Silenced and slowed."

	"DOTA_Tooltip_ability_lupin_flashbang"    "Flashbang"
	"DOTA_Tooltip_ability_lupin_flashbang_Description"    "In an area of effect, Lupin causes enemies to become Dazed by throwing a Flashbang. Dazed enemies are stunned, but the effect is removed if they take damage from any source."
	"DOTA_Tooltip_ability_lupin_flashbang_Note0"    "Enemies stay Dazed for a minimum of 0.5s."
	"DOTA_Tooltip_ability_lupin_flashbang_Note1"    "The damage source needs to exceed 20 to purge the Daze."
	"DOTA_Tooltip_ability_lupin_flashbang_damage"    "DAMAGE:"
	"DOTA_Tooltip_ability_lupin_flashbang_duration"    "DAZE DURATION:"
	"DOTA_Tooltip_ability_lupin_flashbang_radius"    "RADIUS:"
		"DOTA_Tooltip_modifier_flashbang_dazed"    "Dazed"
		"DOTA_Tooltip_modifier_flashbang_dazed_description"    ""

	"DOTA_Tooltip_ability_lupin_finisher"    "Finisher"
	"DOTA_Tooltip_ability_lupin_finisher_Description"    "Lupin fires a shot from his trusty pistol at the target, dealing Physical damage. If the target is Stunned or Dazed, deals bonus damage and Lupin makes an attack against them. Slows for a short time."
	"DOTA_Tooltip_ability_lupin_finisher_damage"    "DAMAGE:"
	"DOTA_Tooltip_ability_lupin_finisher_bonus_damage"    "STUNNED BONUS DAMAGE:"
	"DOTA_Tooltip_ability_lupin_finisher_slow"    "%SLOW:"
	"DOTA_Tooltip_ability_lupin_finisher_slow_duration"    "SLOW DURATION:"
		"DOTA_Tooltip_modifier_finisher_slow"    "Finisher"
		"DOTA_Tooltip_modifier_finisher_slow_description"    "Slowed."

	"DOTA_Tooltip_ability_lupin_last_surprise"    "Last Surprise"
	"DOTA_Tooltip_ability_lupin_last_surprise_Description"    "Lupin quickly strikes all enemy units in a line with an attack, then does the same in the opposite direction, arriving at his starting location. Creeps take less damage from this skill."
	"DOTA_Tooltip_ability_lupin_last_surprise_range"    "RANGE:"
	"DOTA_Tooltip_ability_lupin_last_surprise_creep_damage"    "%CREEP DAMAGE:"
		"DOTA_Tooltip_modifier_last_surprise"    "Last Surprise"
		"DOTA_Tooltip_modifier_last_surprise_description"    "Heaven or Hell... Let's Rock!"

///////////////////////////////////////////////////////
// 
///////////////////////////////////////////////////////

	"npc_dota_hero_queenofpain"    ""


///////////////////////////////////////////////////////
// Lysander
///////////////////////////////////////////////////////

	"npc_dota_hero_kunkka"    "Lysander"
	"npc_dota_hero_kunkka_bio"    ""
	"npc_dota_hero_kunkka_hype"    "This cap'n is all about disrupting his enemies. His long range Physical nuke, Grapeshot, makes him great at consistently damaging enemies. Captain's Compass grants him bonus movespeed whilst moving towards his enemies, whilst Adventurous Gale allows him to charge forth and carry enemies with him. Should he be in trouble, he can summon the great Dreadnaught, a ghostly ship that fires numerous cannonballs ahead of it."


	"DOTA_Tooltip_ability_special_bonus_lysander_1"    "+75 Phantom Dreadnaught Damage"

	"DOTA_Tooltip_ability_special_bonus_lysander_2"    "+30% Grapeshot Crit Chance"

	"DOTA_Tooltip_ability_lysander_grapeshot"    "Grapeshot"
	"DOTA_Tooltip_ability_lysander_grapeshot_description"    "Lysander fires his handgun at a target unit or building, dealing Physical damage based on his attack strength.  When shooting at short range, it ministuns the target.  Has a chance to crit, which halves the ability's cooldown, refunds the Mana cost, increases the damage, and ministuns regardless of how far away the target is.\n\nUpgradable by Aghanim's Scepter."
	"DOTA_Tooltip_ability_lysander_grapeshot_aghanim_description"    "Lysander has a chance to Grapeshot a nearby enemy when he attacks. These shots can Crit as normal, but never stun."
	"DOTA_Tooltip_ability_lysander_grapeshot_multiplier"    "MULTIPLIER:"
	"DOTA_Tooltip_ability_lysander_grapeshot_range_ministun"    "STUN RANGE:"
	"DOTA_Tooltip_ability_lysander_grapeshot_stun"    "STUN DURATION:"
	"DOTA_Tooltip_ability_lysander_grapeshot_crit"    "%CRITICAL CHANCE:"
	"DOTA_Tooltip_ability_lysander_grapeshot_crit_multiplier"    "CRITICAL MULTIPLIER:"
	"DOTA_Tooltip_ability_lysander_grapeshot_scepter_chance"    "%SCEPTER GRAPESHOT CHANCE:"
	"DOTA_Tooltip_ability_lysander_grapeshot_scepter_radius"    "SCEPTER GRAPESHOT RADIUS:"

	"DOTA_Tooltip_ability_lysander_captains_compass"    "Captains Compass"
	"DOTA_Tooltip_ability_lysander_captains_compass_description"    "Targets a unit with Lysander's Magical Compass, granting vision and truesight of them. Lysander gains bonus movespeed and attack speed based on how close he is to the unit."
	"DOTA_Tooltip_ability_lysander_captains_compass_duration"    "DURATION:"
	"DOTA_Tooltip_ability_lysander_captains_compass_movespeed_caster"    "%MAX MOVESPEED/ATTACK SPEED INCREASE:"
		"DOTA_Tooltip_modifier_captains_compass"    "Captain's Compass"
		"DOTA_Tooltip_modifier_captains_compass_description"    ""
		"DOTA_Tooltip_modifier_captains_compass_buff_show"    "Captain's Compass Move Speed"
		"DOTA_Tooltip_modifier_captains_compass_buff_show_description"    ""

	"DOTA_Tooltip_ability_lysander_phantom_fleet"    "Phantom Dreadnaught"
	"DOTA_Tooltip_ability_lysander_phantom_fleet_description"    "Summons forth an ethereal ship that fires its chase cannons ahead, dealing damage to enemy units and buildings. Deals quarter damage to buildings."
	"DOTA_Tooltip_ability_lysander_phantom_fleet_aghanim_description"    "Gives Lysander a guaranteed Grapeshot crit every 14s, doubles the stun duration, and autocasts Grapeshot on targets affected by Captain's Compass, if they are in range, but removes the crit chance completely."
	"DOTA_Tooltip_ability_lysander_phantom_fleet_damage"    "DAMAGE:"
	"DOTA_Tooltip_ability_lysander_phantom_fleet_ministun"    "MINISTUN:"
	"DOTA_Tooltip_ability_lysander_phantom_fleet_duration"    "DURATION:"

///////////////////////////////////////////////////////
// Mindflayer
///////////////////////////////////////////////////////

	"npc_dota_hero_chaos_knight"    "Mindflayer"
	"npc_dota_hero_chaos_knight_bio"    ""
	"npc_dota_hero_chaos_knight_hype"    "Mindflayer, as the name implies, can destroy most casters. While his Ultimate, Vorpal Assault, may be strong, his real signature ability is his devastating Mana Seal, an area of effect spell that gradually drains the Mana of enemies standing in it. Should they reach zero Mana, they are mini-stunned, slowed, and take Magical damage, allowing him to continue his onslaught of stuns and Mana burning crits."


	"DOTA_Tooltip_ability_special_bonus_mana_knight_1"    "Mana Seal Silences For 3s"
	"DOTA_Tooltip_ability_special_bonus_mana_knight_1_Description"    "The Silence occurs when it's placed and is independent of the duration of the Mana Seal."

	"DOTA_Tooltip_ability_special_bonus_mana_knight_2"    "+80 Arcanum Break Damage"

	"DOTA_Tooltip_ability_special_bonus_mana_knight_3"    "+7% Mana Seal Drain"

	"DOTA_Tooltip_ability_special_bonus_mana_knight_4"    "+2.5s Infusion Bolt Stun"

	"DOTA_Tooltip_ability_mana_knight_infusion_bolt"    "Infusion Bolt"
	"DOTA_Tooltip_ability_mana_knight_infusion_bolt_Description"    "Mindflayer fires a bolt at the target that stuns them, and deals damage based on their missing Mana."
	"DOTA_Tooltip_ability_mana_knight_infusion_bolt_damage"    "%MISSING MANA AS DAMAGE:"
	"DOTA_Tooltip_ability_mana_knight_infusion_bolt_min_damage"    "MINIMUM DAMAGE:"
	"DOTA_Tooltip_ability_mana_knight_infusion_bolt_max_damage"    "MAXIMUM DAMAGE:"
	"DOTA_Tooltip_ability_mana_knight_infusion_bolt_stun"    "STUN:"

	"DOTA_Tooltip_ability_mana_knight_mana_seal"    "Mana Seal"
	"DOTA_Tooltip_ability_mana_knight_mana_seal_Description"    "The Mindflayer creates a glyph that seals away Magical energies, gradually draining the Mana of enemies that stand upon it. If their Mana hits 0, they are mini-stunned, damaged and slowed for 1.5s. Ignores targets affected by the 0 Mana mini-stun for a short time afterwards."
	"DOTA_Tooltip_ability_mana_knight_mana_seal_aghanim_Description"    "Upgrades Mana Seal to pierce Magic Immunity, increases the mana drain per second, reduces the ignore time to 4s, and makes the damage upon reaching zero Mana Pure."
	"DOTA_Tooltip_ability_mana_knight_mana_seal_damage"    "DAMAGE:"
	"DOTA_Tooltip_ability_mana_knight_mana_seal_mana_removal"    "%MANA REMOVAL PER SECOND:"
	"DOTA_Tooltip_ability_mana_knight_mana_seal_mana_removal_scepter"    "%SCEPTER MANA REMOVAL PER SECOND:"
	"DOTA_Tooltip_ability_mana_knight_mana_seal_slow"    "%SLOW"
	"DOTA_Tooltip_ability_mana_knight_mana_seal_duration"    "DURATION:"
	"DOTA_Tooltip_ability_mana_knight_mana_seal_cooldown"    "COOLDOWN TIME:"
		"DOTA_Tooltip_modifier_mana_seal_cooldown"    "Mana Seal Prevention"
		"DOTA_Tooltip_modifier_mana_seal_cooldown_description"    "Prevented from being affected by Mana Seal's 0 Mana effects."
		"DOTA_Tooltip_modifier_mana_seal_slow"    "Mana Seal"
		"DOTA_Tooltip_modifier_mana_seal_slow_description"    "Slowed."

	"DOTA_Tooltip_ability_mana_knight_arcanum_break"    "Arcanum Break"
	"DOTA_Tooltip_ability_mana_knight_arcanum_break_Description"    "The Mindflayer's attacks have a chance to strike at the soul of his targets, shattering their Magical energies. Removes Mana from the target, and deals bonus Magical damage, alongside reducing all outgoing spell damage for a short time."
	"DOTA_Tooltip_ability_mana_knight_arcanum_break_bonus_damage"    "BONUS DAMAGE:"
	"DOTA_Tooltip_ability_mana_knight_arcanum_break_duration"    "DURATION:"
	"DOTA_Tooltip_ability_mana_knight_arcanum_break_spell_damage_reduction"    "%SPELL DAMAGE REDUCTION:"
	"DOTA_Tooltip_ability_mana_knight_arcanum_break_mana_burn"    "MANA BURN:"
	"DOTA_Tooltip_ability_mana_knight_arcanum_break_chance"    "%CHANCE:"
		"DOTA_Tooltip_modifier_arcanum_break_spell_damage"    "Arcanum Break"
		"DOTA_Tooltip_modifier_arcanum_break_spell_damage_description"    "Spell damage is reduced."

	"DOTA_Tooltip_ability_mana_knight_vorpal_assault"    "Vorpal Assault"
	"DOTA_Tooltip_ability_mana_knight_vorpal_assault_Description"    "The Mindflayer unleashes a flurry of anti-Magic energy at the target, dealing damage, burning Mana, and cumulatively Silencing them. Each bolt applies its effects separately, and is not a projectile; it hits instantly. There is a short delay between the bolts."
	"DOTA_Tooltip_ability_mana_knight_vorpal_assault_bolts"    "BOLTS:"
	"DOTA_Tooltip_ability_mana_knight_vorpal_assault_damage"    "DAMAGE:"
	"DOTA_Tooltip_ability_mana_knight_vorpal_assault_mana_burn"    "MANA BURN:"
	"DOTA_Tooltip_ability_mana_knight_vorpal_assault_silence_duration"    "SILENCE DURATION PER BOLT:"
		"DOTA_Tooltip_modifier_vorpal_assault_silence"    "Vorpal Assault"
		"DOTA_Tooltip_modifier_vorpal_assault_silence_description"    "Silenced, having lost Mana."

///////////////////////////////////////////////////////
// Mifune
///////////////////////////////////////////////////////

	"npc_dota_hero_juggernaut"    "Mifune"
	"npc_dota_hero_juggernaut_bio"    ""
	"npc_dota_hero_juggernaut_hype"    "A powerful master swordsman, hailing from the land of spirits, Mifune has access to an array of extraordinary abilities, one of which being the devastating Zanmato, a strike that deals more damage to the target the more units are around them."


	"DOTA_Tooltip_ability_special_bonus_mifune_1"    "+75 Raigeki Damage"

	"DOTA_Tooltip_ability_special_bonus_mifune_2"    "Bushido +15% Movespeed"

	"DOTA_Tooltip_ability_special_bonus_mifune_3"    "+2 Genso Illusions"

	"DOTA_Tooltip_ability_mifune_raigeki"    "Raigeki"
	"DOTA_Tooltip_ability_mifune_raigeki_description"    "Slashes to create a burst of energy that travels at speed towards the target point.  After a delay, a second shockwave explodes across the battlefield, dealing the same damage.  Both attacks slow the enemy."
	"DOTA_Tooltip_ability_mifune_raigeki_initial_damage"    "DAMAGE:"
	"DOTA_Tooltip_ability_mifune_raigeki_slow"    "%SLOW:"
	"DOTA_Tooltip_ability_mifune_raigeki_delay"    "DELAY:"
		"DOTA_Tooltip_modifier_raigeki"    "Raigeki Slow"
		"DOTA_Tooltip_modifier_raigeki_description"    ""

	"DOTA_Tooltip_ability_mifune_bushido"    "Bushido"
	"DOTA_Tooltip_ability_mifune_bushido_Description"    "Mifune's intense training and discipline allows him to extract more benefits from his Agility. Upon activation, grants a percentage of his Base Agility as bonus Agility, and grants him bonus damage based upon his base damage for a short time."
	"DOTA_Tooltip_ability_mifune_bushido_aghanim_Description"    "Bushido grants %scepter_evasion%%% evasion. When an enemy misses an attack against Mifune in this form, he instantly counterattacks."
	"DOTA_Tooltip_ability_mifune_bushido_percent"    "%BONUS AGILITY:"
	"DOTA_Tooltip_ability_mifune_bushido_bonus_damage"    "%BONUS DAMAGE:"
	"DOTA_Tooltip_ability_mifune_bushido_duration"    "DURATION:"
	"DOTA_Tooltip_ability_mifune_bushido_scepter_evasion"    "%EVASION:"
		"DOTA_Tooltip_modifier_bushido"    "Bushido"
		"DOTA_Tooltip_modifier_bushido_description"    "Gaining bonus Agility and percentage bonus damage based on your Agility."

	"DOTA_Tooltip_ability_mifune_genso"    "Genso"
	"DOTA_Tooltip_ability_mifune_genso_description"    "Creates an illusion to attack the targeted enemy.  The illusions can be killed and move slightly faster than Mifune himself, but cannot be controlled."
	"DOTA_Tooltip_ability_mifune_genso_Note0"    "Illusions have a 15% movespeed bonus."
	"DOTA_Tooltip_ability_mifune_genso_illusion_tooltip"    "%ILLUSION OUTGOING DAMAGE:"
	"DOTA_Tooltip_ability_mifune_genso_illusion_incoming"    "%ILLUSION INCOMING DAMAGE:"
	"DOTA_Tooltip_ability_mifune_genso_illusion_duration"    "ILLUSION DURATION:"
	"DOTA_Tooltip_ability_mifune_genso_illusions"    "ILLUSIONS:"

	"DOTA_Tooltip_ability_mifune_zanmato"    "Zanmato"
	"DOTA_Tooltip_ability_mifune_zanmato_description"    "Mifune focuses for a moment, then unleashes the most powerful ability in his arsenal; he slashes at blinding speed, attacking all enemies in the radius of the spell.  After this ends, the energy created from his attacks converges on the main target, dealing Magical damage for each enemy within the radius.  The main target is stunned while Mifune is slashing.  Deals bonus damage to Heroes.\n\nUpgradable by Aghanim's Scepter."
	"DOTA_Tooltip_ability_mifune_zanmato_Note0"    "The main target is stunned for a minimum of 1s."
	"DOTA_Tooltip_ability_mifune_zanmato_Note1"    "The slash preserves procs and orb effects."
	"DOTA_Tooltip_ability_mifune_zanmato_Note2"    "The Orbs deal Magical damage, and converge on the main target when the initial slashes end."
	"DOTA_Tooltip_ability_mifune_zanmato_bonus_hero_damage"    "BONUS HERO DAMAGE:"
	"DOTA_Tooltip_ability_mifune_zanmato_orb_damage"    "ORB DAMAGE:"
	"DOTA_Tooltip_ability_mifune_zanmato_radius"    "RADIUS:"
	"DOTA_Tooltip_ability_mifune_zanmato_scepter"    "Zanmato"
	"DOTA_Tooltip_ability_mifune_zanmato_scepter_description"    "Mifune focuses for a moment, then unleashes the most powerful ability in his arsenal; he slashes at blinding speed, attacking all enemies in the radius of the spell.  After this ends, the energy created from his attacks converges on the main target, dealing Magical damage for each enemy within the radius.  The main target is stunned while Mifune is slashing.  Deals bonus damage to Heroes."
	"DOTA_Tooltip_ability_mifune_zanmato_scepter_aghanim_description"    "Increases cast range, damage, radius and reduces cooldown."
	"DOTA_Tooltip_ability_mifune_zanmato_scepter_Note0"    "The main target is stunned for a minimum of 1s."
	"DOTA_Tooltip_ability_mifune_zanmato_scepter_Note1"    "The slash preserves procs and orb effects."
	"DOTA_Tooltip_ability_mifune_zanmato_scepter_Note2"    "The Orbs deal Magical damage, and converge on the main target when the initial slashes end."
	"DOTA_Tooltip_ability_mifune_zanmato_scepter_bonus_hero_damage"    "BONUS HERO DAMAGE:"
	"DOTA_Tooltip_ability_mifune_zanmato_scepter_orb_damage"    "ORB DAMAGE:"
		"DOTA_Tooltip_modifier_zanmato_main_target"    "Zanmato"
		"DOTA_Tooltip_modifier_zanmato_main_target_description"    ""

///////////////////////////////////////////////////////
// 
///////////////////////////////////////////////////////

	"right"    ""


	"DOTA_Tooltip_ability_special_bonus_neith_1"    "+4s Inspire Duration"

	"DOTA_Tooltip_ability_special_bonus_neith_2"    "Rally Grants 8 Armor"

	"DOTA_Tooltip_ability_special_bonus_neith_3"    "Decisive Strike Makes an Attack"

	"DOTA_Tooltip_ability_special_bonus_neith_4"    "+30 Monsoon Damage Steal"

	"DOTA_Tooltip_ability_special_bonus_neith_5"    "-8 Monsoon Cooldown"

	"DOTA_Tooltip_ability_neith_monsoon"    "Monsoon"
	"DOTA_Tooltip_ability_neith_monsoon_description"    "Neith unleashes an attack that cripples nearby enemies and empowers her, dealing damage in an AoE and stealing attack damage, alongside reducing their Armor."
	"DOTA_Tooltip_ability_neith_monsoon_attack_steal"    "DAMAGE STEAL:"
	"DOTA_Tooltip_ability_neith_monsoon_armor_reduction"    "ARMOR REDUCTION:"
	"DOTA_Tooltip_ability_neith_monsoon_duration"    "DURATION:"
		"DOTA_Tooltip_modifier_monsoon"    "Monsoon"
		"DOTA_Tooltip_modifier_monsoon_description"    "Damage is reduced."
		"DOTA_Tooltip_modifier_monsoon_user"    "Monsoon"
		"DOTA_Tooltip_modifier_monsoon_user_description"    "Gaining damage from hit targets."

	"DOTA_Tooltip_ability_neith_decisive_strike"    "Decisive Strike"
	"DOTA_Tooltip_ability_neith_decisive_strike_description"    "Neith strikes a devastating blow with bloodlust alone against a random nearby enemy, dealing large Magical damage, slowing their attack speed and movespeed, and stealing some of their Armor for a short duration."
	"DOTA_Tooltip_ability_neith_decisive_strike_hit_radius"    "RADIUS:"
	"DOTA_Tooltip_ability_neith_decisive_strike_slow"    "%SLOW:"
	"DOTA_Tooltip_ability_neith_decisive_strike_duration"    "DURATION:"
	"DOTA_Tooltip_ability_neith_decisive_strike_armor"    "ARMOR STEAL"
		"DOTA_Tooltip_modifier_decisive_strike_slow"    "Decisive Strike"
		"DOTA_Tooltip_modifier_decisive_strike_slow_description"    "Being slowed drastically."

	"DOTA_Tooltip_ability_neith_inspire"    "Inspire"
	"DOTA_Tooltip_ability_neith_inspire_description"    "The Warrior Goddess' actions inspire her comrades, increasing their attack damage for a short time when she uses her abilities near them. Grants less damage to creeps."
	"DOTA_Tooltip_ability_neith_inspire_attack_damage"    "BONUS DAMAGE (HERO):"
	"DOTA_Tooltip_ability_neith_inspire_attack_damage_creep"    "BONUS DAMAGE (CREEP):"
	"DOTA_Tooltip_ability_neith_inspire_duration"    "DURATION:"
		"DOTA_Tooltip_modifier_inspire_buff_display"    "Inspire Damage"
		"DOTA_Tooltip_modifier_inspire_buff_display_description"    ""

	"DOTA_Tooltip_ability_neith_rally"    "Rally"
	"DOTA_Tooltip_ability_neith_rally_description"    "With a war cry, Neith rallies her nearby allies to battle, increasing their attack damage, move speed and attack speed for a very short time. Creeps gain less attack damage, but the same amount of move speed and attack speed.\n\nUpgradable by Aghanim's Scepter."
	"DOTA_Tooltip_ability_neith_rally_aghanim_description"    "Increases radius and duration, and reduces nearby enemies' attackspeed, movespeed and damage by the same amount as it increases for your allies."
	"DOTA_Tooltip_ability_neith_rally_damage_increase"    "DAMAGE INCREASE (HEROES):"
	"DOTA_Tooltip_ability_neith_rally_damage_increase_creep"    "DAMAGE INCREASE (CREEPS):"
	"DOTA_Tooltip_ability_neith_rally_attack_speed_increase"    "ATTACK SPEED INCREASE:"
	"DOTA_Tooltip_ability_neith_rally_bonus_movespeed"    "%MOVESPEED INCREASE:"
	"DOTA_Tooltip_ability_neith_rally_duration"    "DURATION:"
	"DOTA_Tooltip_ability_neith_rally_scepter_duration"    "SCEPTER DURATION:"
	"DOTA_Tooltip_ability_neith_rally_scepter_radius"    "SCEPTER RADIUS:"
		"DOTA_Tooltip_modifier_rally_buff"    "Rally"
		"DOTA_Tooltip_modifier_rally_buff_description"    ""
		"DOTA_Tooltip_modifier_rally_debuff"    "Rally"
		"DOTA_Tooltip_modifier_rally_debuff_description"    ""

///////////////////////////////////////////////////////
// Nu
///////////////////////////////////////////////////////

	"npc_dota_hero_enigma"    "Nu"
	"npc_dota_hero_enigma_bio"    ""
	"npc_dota_hero_enigma_hype"    "A disabler, nuker, and teamfighter, Nu is dangerous at all stages of the game. Possessing the strongest slow and Physical damage nuke in the game, Gravity Pulse, a damage augmenter with Micronebulae, numerous deadly floating mines with Antimatter Mines, and a powerful Ult, Warpstar, that can pull enemies in from thousands of units away and stun them, Nu is devastating if played correctly."


	"DOTA_Tooltip_ability_special_bonus_nu_1"    "+12% Micronebula Damage"

	"DOTA_Tooltip_ability_special_bonus_nu_2"    "+60 Flux Field DPS"

	"DOTA_Tooltip_ability_special_bonus_nu_3"    "+300 Gravity Pulse Damage"

	"DOTA_Tooltip_ability_nu_gravity_pulse"    "Gravity Pulse"
	"DOTA_Tooltip_ability_nu_gravity_pulse_Description"    "Nu creates a devastating gravitational pulse at the target area, dealing large Physical damage and slowing drastically any enemies caught in it."
	"DOTA_Tooltip_ability_nu_gravity_pulse_slow"    "%SLOW:"
	"DOTA_Tooltip_ability_nu_gravity_pulse_slow_duration"    "SLOW DURATION:"
		"DOTA_Tooltip_modifier_gravity_pulse"    "Gravity Pulse Attack/Move Slow"
		"DOTA_Tooltip_modifier_gravity_pulse_description"    ""

	"DOTA_Tooltip_ability_nu_micronebula"    "Micronebula"
	"DOTA_Tooltip_ability_nu_micronebula_Description"    "Nu summons a Micronebula that latches onto the target unit. At the end of its duration, a percentage of damage the unit took is dealt over 3s to units in a 325 radius before dissipating. Reduces Armor. If the target would die, half the damage they would have taken at the end of the duration is instead dealt instantly to all units in the radius."
	"DOTA_Tooltip_ability_nu_micronebula_duration"    "DURATION:"
	"DOTA_Tooltip_ability_nu_micronebula_dmg"    "%DAMAGE:"
	"DOTA_Tooltip_ability_nu_micronebula_armor_reduction"    "ARMOR REDUCTION:"
		"DOTA_Tooltip_modifier_micronebula"    "Micronebula"
		"DOTA_Tooltip_modifier_micronebula_description"    "Taking damage over time."
		"DOTA_Tooltip_modifier_micronebula_display"    "Micronebula"
		"DOTA_Tooltip_modifier_micronebula_display_description"    "A portion of damage taken will be dealt over time after duration ends."

	"DOTA_Tooltip_ability_nu_flux_field"    "Flux Field"
	"DOTA_Tooltip_ability_nu_flux_field_Description"    "Nu gathers the fluctuating energies of the cosmos into one spot, creating an area that deals damage over time. Whenever an enemy casts a Spell or uses an item that costs Mana whilst inside the area, all enemy units in the radius are damaged and ministunned."
	"DOTA_Tooltip_ability_nu_flux_field_damage_over_time"    "DAMAGE OVER TIME:"
	"DOTA_Tooltip_ability_nu_flux_field_damage_per_cast"    "DAMAGE PER CAST:"
	"DOTA_Tooltip_ability_nu_flux_field_radius"    "RADIUS:"
	"DOTA_Tooltip_ability_nu_flux_field_duration"    "DURATION:"
	"DOTA_Tooltip_ability_nu_flux_field_unit"    "Nu Antimatter Mines Unit"
	"DOTA_Tooltip_ability_nu_flux_field_unit_Description"    ""
	"DOTA_Tooltip_ability_nu_flux_field_unit_damage"    "DAMAGE:"
	"DOTA_Tooltip_ability_nu_flux_field_unit_delay"    "DELAY:"
	"DOTA_Tooltip_ability_nu_flux_field_unit_explosion_delay"    "EXPLOSION DELAY:"
	"DOTA_Tooltip_ability_nu_flux_field_unit_check_radius"    "CHECK RADIUS:"
	"DOTA_Tooltip_ability_nu_flux_field_unit_duration"    "DURATION:"
		"DOTA_Tooltip_modifier_flux_field"    "Flux Field"
		"DOTA_Tooltip_modifier_flux_field_description"    ""
		"DOTA_Tooltip_modifier_flux_field_aura"    "Flux Field"
		"DOTA_Tooltip_modifier_flux_field_aura_description"    "Taking damage and being ministunned when any unit in the radius casts Spells or uses items."

	"DOTA_Tooltip_ability_nu_warpstar"    "Warpstar"
	"DOTA_Tooltip_ability_nu_warpstar_Description"    "A devastating cosmological entity, the Warpstar, after a short delay, deals Pure damage and transports allies and enemies alike to the position where Nu cast the spell. During the delay, enemies caught in the vortex are slowed."
	"DOTA_Tooltip_ability_nu_warpstar_Note0"    "Allies do not take damage from this ability."
	"DOTA_Tooltip_ability_nu_warpstar_Note1"    "Transport targets are locked 0.4s before the ability completes. Even if those locked targets leave the immediate area, they will be transported."
	"DOTA_Tooltip_ability_nu_warpstar_damage"    "DAMAGE:"
	"DOTA_Tooltip_ability_nu_warpstar_slow"    "%SLOW:"
	"DOTA_Tooltip_ability_nu_warpstar_stun"    "STUN DURATION:"
	"DOTA_Tooltip_ability_nu_warpstar_radius"    "RADIUS:"
	"DOTA_Tooltip_ability_nu_warpstar_delay"    "DELAY:"

///////////////////////////////////////////////////////
// 
///////////////////////////////////////////////////////

	"npc_dota_hero_abaddon"    ""
